Category	Question	AnswerA (correct)	AnswerB	AnswerC	AnswerD
Wisconsin	What cheese-related event is held annually in Monroe Wisconsin?	Cheese Days Festival	Milwaukee Cheese Expo	Great Dairy Fair	Badger Cheese Summit
Wisconsin	What Wisconsin-based company is known for creating the first beer can?	G. Heileman Brewing Company	Anheuser-Busch	MillerCoors	Pabst Brewing Company
Wisconsin	What Native American tribe is historically associated with Wisconsin’s name origin?	Algonquin	Apache	Navajo	Sioux
Wisconsin	What famous ice cream treat was invented in Wisconsin?	Brownie Sundae	Milkshake Float	Snow Cone	Root Beer Slush
Wisconsin	What Wisconsin city hosts Summerfest one of the world’s largest music festivals?	Milwaukee	Madison	Appleton	Racine
Wisconsin	What river forms part of Wisconsin’s western border?	Mississippi River	Missouri River	Ohio River	Colorado River
Popculture 	Who played Iron Man in the Marvel Cinematic Universe?	Robert Downey Jr.	Chris Evans	Chris Hemsworth	Mark Ruffalo
Popculture 	What TV show features the characters Eleven, Mike, and Dustin?	Stranger Things	The Umbrella Academy	Dark	The Walking Dead
Popculture 	Which singer is known as the “Queen of Pop”?	Madonna	Lady Gaga	Beyoncé	Britney Spears
Popculture 	What fictional city is Batman known to protect?	Gotham City	Central City	Star City	Metropolis
Popculture 	Which movie series includes the quote, “May the Force be with you”?	Star Wars	Star Trek	Guardians of the Galaxy	Dune
Popculture 	Who is the main character in the video game series The Legend of Zelda?	Link	Ganondorf	Zelda	Epona
Popculture 	What animated movie features a snowman named Olaf?	Frozen	Tangled	Moana	Ice Age
Popculture 	Which artist released the album 1989?	Taylor Swift	Katy Perry	Ariana Grande	Selena Gomez
Popculture 	What Netflix show is about a deadly competition with childhood games?	Squid Game	Black Mirror	Money Heist	Alice in Borderland
Popculture 	Who lives in a pineapple under the sea?	SpongeBob SquarePants	Patrick Star	Squidward Tentacles	Mr. Krabs
Video Game	What year was Minecraft officially released?	2011	2009	2013	2015
Video Game	What is the name of the main protagonist in The Legend of Zelda series?	Link	Zelda	Ganon	Epona
Video Game	Which company developed Fortnite?	Epic Games	Activision	Ubisoft	Electronic Arts
Video Game	What is the best-selling video game of all time?	Minecraft	Grand Theft Auto V	Tetris	Wii Sports
Video Game	In Super Mario Bros., what is Mario’s brother’s name?	Luigi	Wario	Bowser	Yoshi
Video Game	What type of game is Call of Duty primarily known as?	First-person Shooter	Puzzle Game	Racing Simulator	Turn-Based Strategy
Video Game	Which console was released first?	PlayStation 1	Xbox	Nintendo Wii	PlayStation 4
Video Game	In Among Us, what is the role of the player trying to eliminate others secretly?	Impostor	Crewmate	Engineer	Guardian
Video Game	What fictional city is Grand Theft Auto V set in?	Los Santos	Liberty City	Vice City	San Fierro
Video Game	Which company created the character Sonic the Hedgehog?	Sega	Nintendo	Capcom	Konami
American History	Who was the first President of the United States?	George Washington	John Adams	Thomas Jefferson	Benjamin Franklin
American History	In what year was the Declaration of Independence signed?	1492	1776	1789	1812
American History	Who wrote the Declaration of Independence?	Alexander Hamilton	James Madison	Thomas Jefferson	John Hancock
American History	Which war was fought between the North and South regions of the U.S.?	American Revolutionary War	World War I	War of 1812	American Civil War
American History	Who was President during the Civil War?	Ulysses S.Grant	Abraham Lincoln	Andrew Jackson	Theodore Roosevelt
American History	What document begins with “We the People”?	United States Constitution	Bill Rights	Articles of Confederation	Emancipation Proclamation
American History	Who was the first woman to fly solo across the Atlantic Ocean?	Susan B. Anthony	Harriet Tubman	Amelia Earhart	Eleanor Roosevelt
American History	What movement fought to end racial segregation in the 1950s and 1960s?	Civil Rights Movement	The Industrial Movement	The Temperance Movement	The Gold Rush
American History	Who delivered the “I Have a Dream” speech?	Malcolm X	Martin Luther King Jr.	Frederick Douglass	Barack Obama
American History	What state became the 50th state in 1959?	Alaska	Hawaii	Puerto Rico	Guam
American History	Which war helped the United States gain independence from Britain?	Revolutionary War	Civil War	War of 1812	World War I
American History	Who was the third President of the United States?	Thomas Jefferson	John Adams	James Madison	Andrew Jackson
American History	Which event started the American Revolutionary War in 1775?	Battle of Lexington and Concord	Boston Tea Party	Stamp Act	Boston Massacre
American History	Which amendment gave women the right to vote in 1920?	19th Amendment	15th Amendment	18th Amendment	21st Amendment
American History	Who was the U.S. President during World War II?	Franklin D. Roosevelt	Herbert Hoover	Harry S. Truman	Dwight D. Eisenhower
American History	What was the first permanent English settlement in America?	Jamestown	Plymouth	Roanoke	Wlliamsburg
American History	What famous protest involved colonists throwing tea into Boston Harbor?	Boston Tea Party	Boston Massacre	Tea Act Riot	Liberty Protest
American History	Which document officially ended the American Revolutionary War in 1783?	Treaty of Paris	Treaty of Versaillies	Constitution	Emancipation Proclamation
American History	Who was the first African American President of the United States?	Barack Obama	ColinPowell	Jesse Jackson	Kamala Harris
American History	Which territory did the United States buy from Russia in 1867?	Alaska	Hawaii	Puerto Rico	Guam
Geography	What is the capital of the United States?	Washington DC	Milwaukee	Las Vegas	Chicago
Geography	What is the tallest mountain in the world above sea level?	Mount Everest	Mount Enderman	Mount McKinley	Mount Rushmore
Geography	What is the largest ocean in the world?	Pacific Ocean	Atlantic Ocean	Indian Ocean	Southern Ocean
Geography	How many States does the United States consist of?	50	51	49	48
Geography	What is the name of the supercontinent that existed millions of years ago?	Pangea	Patagonia	Paraguay	Pompeii
Geography	What is the world’s largest hot desert?	Sahara 	Arabian	Arctic	Atacoma
Geography	What is the name of the largest country in the world?	Russia	China	India	United States
Geography	What is the name of the smallest country in the world?	The Vatican City	Rhode Island	Maldives	Monaco
Geography	What country has the most natural lakes?	Canada	United States	Mexico	Greenland
Geography	What is the coldest place on Earth?	Antarctica	North Pole	South Pole	Iceland
Geography	What is the largest continent in the world?	Asia	Antarctica	Europe	Africa
Geography	Which U.S. state is known as the “Sunshine State”?	Florida	Arizona	California	Nevada
Geography	Which country is home to the city of Paris?	France	Italy	Germany	Sweden
Geography	What river runs through Egypt?	Nile	Denial	Mississippi	Amazon
Geography	Which country is famous for the Great Wall?	China	Japan	Russia	India
Geography	Which continent is Asutralia in?	Australia	Asia	Africa	South America
Geography	What is the capital of Japan?	Tokyo	Shibuya	Beijing	Bangkok
Geography	Which country is shaped like a boot?	Italy	Greece	Spain	Portugal
Geography	Which continent is Canada in?	North America	South America	Europe	Asia
Geography	What is the largest state by area in the U.S.?	Alaska	Texas	California	Montana
Retro Video Game History	What year was the arcade game Pac-Man first released?	1980	1975	1985	1990
Retro Video Game History	Which company created the original Nintendo Entertainment System (NES)?	Nintendo	Sega	Atari	Sony
Retro Video Game History	What was the name of Mario’s original arcade debut game?	Donkey Kong	Super Mario Bros	Mario Kart	Punch-Out!!
Retro Video Game History	Which console is credited with helping revive the video game industry after the 1983 crash?	Nintendo Entertainment System (NES)	Sega Genesis	Atari 2600	PlayStation
Retro Video Game History	Which classic arcade game features a yellow character eating dots in a maze?	Pac-Man	Galaga	Frogger	Centipede
Retro Video Game History	What company released the Sega Genesis console?	Sega	Nintendo	Atari	Microsoft
Retro Video Game History	Which handheld gaming device was released by Nintendo in 1989?	Game Boy	PSP	Game Gear	DS Lite
Retro Video Game History	What popular 1980s arcade game involves defending Earth from descending alien invaders?	Space Invaders	Asteroids	Defender	Q*bert
Retro Video Game History	Which character is known for collecting rings in a high-speed platforming game?	Sonic the Hedgehog	Crash Bandicoot	Mega Man	Kirby
Retro Video Game History	Which company created the PlayStation console?	Sony	Nintendo	Sega	Atari
Retro Video Game History	What year was the original Super Mario Bros. released on the NES?	1985	1980	1988	1990
Retro Video Game History	Which company created the Atari 2600?	Atari	Nintendo	Sega	Sony
Retro Video Game History	What arcade game features a frog crossing a busy road?	Frogger	Pac-Man	Dig Dug	Q*bert
Retro Video Game History	Which classic arcade game involves shooting asteroids in space?	Asteroids	Galaga	Defender	Tempest
Retro Video Game History	Which character starred in the Mega Man series?	Mega Man	Samus	Link	Simon Belmont
Retro Video Game History	What was the name of Sega’s 8-bit console before the Genesis?	Master System	Game Gear	Saturn	Dreamcast
Retro Video Game History	Which game featured colored falling blocks that players must stack?	Tetris	Dr. Mario	Puyo Puyo	Columns
Retro Video Game History	Which 1981 arcade game featured a carpenter jumping over barrels?	Donkey Kong	Mario Bros	Popeye	Q*bert
Retro Video Game History	Which company developed the game Space Invaders?	Taito	Namco	Capcom	Konami
Retro Video Game History	What was the name of the first commercially successful home console?	Magnavox Odyssey	Atari 2600	NES	Sega Genesis
90s Cartoon Trivia	Which cartoon features a group of kids who explore strange mysteries in their hometown of Gravity Falls?	Gravity Falls	The Wild Thornberrys	Recess	Rocket Power
90s Cartoon Trivia	Which cartoon features two conjoined animals—one a cat and one a dog?	CatDog	Rocko’s Modern Life	Rugrats	Hey Arnold!
90s Cartoon Trivia	Which cartoon follows a group of elementary school kids during recess?	Recess	Hey Arnold!	Doug	Rocket Power
90s Cartoon Trivia	Which cartoon features a sarcastic wallaby and his friends Heffer and Filburt?	Rocko’s Modern Life	Rugrats	CatDog	Angry Beavers
90s Cartoon Trivia	Which cartoon stars two beaver brothers named Norbert and Daggett?	The Angry Beavers	CatDog	Rugrats	Doug
90s Cartoon Trivia	Which cartoon features a boy named Doug Funnie and his dog Porkchop?	Doug	Hey Arnold!	Recess	Rugrats
90s Cartoon Trivia	Which cartoon follows a family traveling the world filming nature shows?	The Wild Thornberrys	Rocket Power	Recess	CatDog
90s Cartoon Trivia	Which cartoon features four babies named Tommy, Chuckie, Phil and Lil?	Rugrats	Hey Arnold!	Doug	CatDog
90s Cartoon Trivia	Which cartoon centers around extreme sports-loving kids in Ocean Shores?	Rocket Power	Recess	Hey Arnold!	Doug
90s Cartoon Trivia	Which cartoon features a superhero parody character named Freakazoid?	Freakazoid!	Animaniacs	Tiny Toon Adventures	Darkwing Duck
90s Cartoon Trivia	Which cartoon features Yakko, Wakko and Dot causing chaos?	Animaniacs	Tiny Toon Adventures	Freakazoid!	Pinky and the Brain
Animals	What is the largest animal on Earth?	Blue Whale	African Elephant	Giraffe	Hippopotamus
Animals	Which bird is known for being unable to fly but is the fastest running bird on land?	Ostrich	Penguin	Emu	Turkey
Animals	What mammal is known for having black and white stripes?	Zebra	Skunk	Badger	Racoon
Animals	What animal is the largest species of cat in the world?	Tiger	Leopard	Lion	Jaguar
Animals	What is the only mammal capable of true flight?	Bat	Flying Squirrel	Sugar Glider	Colugo
Animals	Which animal is known for building dams in rivers and streams?	Beaver	Otter	Muskrat	Capybara
Animals	What animal is famous for changing its color to blend into its surroundings?	Chameleon	Gecko	Iguana	Tree Frog
Animals	Which animal is the tallest land animal in the world?	Giraffe	Elephant	Camel	Moose
Animals	What animal is known for carrying its baby in a pouch?	Kangaroo	Koala	Wombat	Opossum
Animals	What large bear species is native to the Arctic region?	Polar Bear	Black Bear	Grizzly Bear	Brown Bear
Music	What does "Forte" or "f" mean in Musical Notation?	Loud	Soft	Change Tempo	40
Music	What does "Piano" or "p" mean in Musical Notation?	Soft	Loud	Change Pitch	Use Piano in this section
Music	What is the name of the five horizontal lines used in horizontal notation (what you read on the music sheet)?	Staff	Steve	Bar	Stanza
Music	What is the name of the interval within C and G?	Perfect Fifth	And	Harmony	Trick Question
Music	Who invented leitmotifs?	Hans Von Wolzogen	Toby Fox	Ludolf Schwarz	Richard Wagner
Music	Michael Jackson worked on music tracks for which Sonic game?	Sonic The Hedgehog 3	Sonic CD	Mean Bean Machine	This is a trick question
Music	Which of the following artists did NOT sing on "We are The World"?	Johnny Cash	Stevie Wonder	Cyndi Lauper	Bruce Springsteen
Music	Which song by The Beatles, which was the first pop song to feature a sitar, was originally named "This Bird Has Flown"?	Norwegian Wood	Act Naturally	And Your Bird Can Sing	Ain't She Sweet
Music	Which city is often reffered to as "The Birthplace of Jazz"?	New Orleans	New York	Milwaukee	Las Vegas
Music	Eminem's "8 mile" is named after a road in which city?	Detroit	Donut	Michigan	Flint
Midwest Gaming Classic	What was Midwest Gaming Classic called the first year it ran?	JagFest	Milwaukee Gaming Classic	Wisconsin Gaming Classic	Arcade Fest
Midwest Gaming Classic	Where was Midwest Gaming Classic held the first year?	Basement of the Boy Scout Service Center	Sheraton Hotel	Dan's Backyard	Olympia Convention Center
Midwest Gaming Classic	What is the name of the Midwest Gaming Classic's purple gorilla mascot that meets people as they enter the event each year?	Danky Kang	Donkey Kong	Donkey Kang	Danky Kong
Midwest Gaming Classic	What failed home console was original reason that the Midwest Gaming Classic was started?	Atari Jaguar	Atari Lynx	CDTV	3DO
Midwest Gaming Classic	What was the first tournament pinball machine that rolled over a billion points while being played?	Bram Stoker’s Dracula (in 2006)	Pinball Arcade: Medieval Madness	Indiana Jones: The Pinball Adventure	Pinball Arcade: Monster Bash
Midwest Gaming Classic	In 2002 and 2003, the show had a slightly different name. What was it? 	Midwest Classic	Midwest Games	Midwest Gaming	THE Classic
Midwest Gaming Classic	After a year off, the Midwest Gaming Classic returned in 2006. What city was the show held in that year?	Oconomowoc	Milwaukee	Wauwatosa	Brookfield
Midwest Gaming Classic	What year was the first time that the Midwest Gaming Classic featured live professional wrestling at the show?	2021	2011	2020	2001
Midwest Gaming Classic	When did the Midwest Gaming Classic Official After Party first get held?	2018	2006	2020	2001
Midwest Gaming Classic	What milestone anniversary is MGC celebrating this year?	25th	10th	50th	100th
Midwest Gaming Classic	What is the name of the arcade in Menonmee Falls that comes to the MGC regularly?	The Garcade	Carcade	Pizza Ranch FunZone Arcade	Wisconsin P & P Amusements
Midwest Gaming Classic	Which of the following has been part of the Midwest Gaming Classic since day one?	The Classic Gaming and Computing Museum	Future Classics	BATSU	Chris Sean
Midwest Gaming Classic	Who was the first featured artist at the Midwest Gaming Classic?	Archie Cunningham	Bob Budiansky	Brian Pelletier	Frank Miller
Pop Culture	Which movie features the quote, “I am Iron Man”?	Iron Man	The Avengers	Iron Man 2	Captain America: Civil War
Pop Culture	Who is the main character in the TV show Stranger Things who has powers?	Eleven	Max	Nancy	Robin
Pop Culture	Which artist released the hit song “Blinding Lights”?	The Weekend	Drake	Post Malone	Justin Bieber
Pop Culture	In Friends, what is the name of Ross’s second wife?	Emily	Rachel	Carol	Janice
Pop Culture	Which superhero is known as the “Caped Crusader”?	Batman	Superman	Spider-Man	Black Panther
Pop Culture	What is the fictional African country in Black Panther called?	Wakanda	Zamunda	Genosha	Latveria
Pop Culture	Which streaming platform produced The Witcher series?	Netflix	Hulu	Amazon Prime Video	Disney+
Pop Culture	Who played Jack in Titanic?	Leonardo DiCaprio	Brad Pitt	Johnny Depp	Matt Damon
Pop Culture	What is the name of the coffee shop in the TV show Friends?	Central Perk	Coffee Bean	Java House	Brewed Awakenings
Pop Culture	Which video game franchise features characters like Mario and Luigi?	Super Mario Bros.	Sonic the Hedgehog	The Legend of Zelda	Final Fantasy
Cartoons	What is Popeye’s favorite food that makes him stronger?	Spinach	Lettuce	Carrots	Chicken
Cartoons	What is the name of Timmy Turner’s fairy godparents in The Fairly OddParents?	Cosmo and Wanda	Puff and Jorgen	Cosmic and Wands	Poof and Jerg
Cartoons	In Ed, Edd n Eddy, what is the gang’s ultimate goal?	Get Jawbreakers	Make Money	Get Girls	Have Fun
Cartoons	What is the name of the cat in Tom and Jerry?	Tom	Jerry	Terry	Jeff
Cartoons	What is the full name of Scooby-Doo?	Scoobert Doo	Scooby Doo	Scoobert Doobert	Scooby Dooby Doo
Cartoons	What is the name of Ash Ketchum’s first Pokémon?	Pikachu	Caterpie	Charmander	Squirtle
Cartoons	Which cartoon show follows a young boy with a magic watch that lets him transform into aliens?	Ben 10	Danny Phantom	Gravity Falls	Johnny Test
Cartoons	What is the name of Jimmy Neutrons dog?	Goddard	Gooter	Gary	Gostar
Cartoons	Which cartoon series holds the longest T.V. series and sitcom in terms of episodes and seasons in the United States?	The Simpsons	Family Guy	American Dad	Spongebob Squarepants
Cartoons	What is the name of Invader Zim's sidekick?	GIR 	ZIR	ZIM	BOT
Animals	What animal can hold its breath the longest?	Elephant Seal	Blue Whale	Crocodile	Penguin
Animals	Which animal has three hearts?	Octopus	shark	Jellyfish	Squid
Animals	What animal’s fingerprints are almost identical to humans?	Koala	Monkey	Panda	Lemur
Animals	Which animal can taste with its feet?	Butterfly	Spider	Ant	Beetle
Animals	What animal can survive being frozen and come back to life?	Frog	Tardigrade	Snake	Lizard
Animals	Which animal has the largest eyes relative to its body size?	Tarsier	Owl	Lemur	Cat
Animals	What animal sleeps for only about 2 hours a day?	Giraffe	Horse	Elephant	Cow
Animals	Which animal can regenerate its heart?	Axolotl	Starfish	Octopus	Crab
Animals	What animal has transparent blood?	Icefish	Squid	Jellyfish	Eel
Animals	Which animal can squirt blood from its eyes as a defense mechanism?	Horned Lizard	Chameleon	Iguana	Gecko
Music	Who is Kendrick Lamar's diss track "not like us" about?	Drake	Himself	Young People	The Undead
Music	In The Big Lebowski, The Dude can’t stand which band?	The Eagles	The Gal	The Hawks	The Tuah
Music	Which classical composer was deaf?	Ludwig van Beethoven	Wolfgang Amadeus Mozart	Johann Sebastian Bach	Antonio Vivaldi
Music	What video beat “Thriller” for Video of the Year at the first-ever MTV Video Music Awards?	The Cars, “You Might Think”	Cars 2, "You Might Think I'm Crazy"	Rick Astley, "Never Gonna Give You Up"	Trick Question
Music	What Rolling Stones song title is also a restaurant chain?	Ruby Tuesday	Chantilly Lace	Claudine	Downtown Suzie
Music	Which member of The Runaways competed on Jeopardy!?	Jackie Fox	Cherrie Currie	Lita Ford	Joan Jett
Music	Which legendary artist wrote The Bangles’ hit song “Manic Monday”?	Prince	The King	Queen	The Fool
Music	Who sang the 1984 song 'Take on Me'?	A-ha	Aha	Lean Mcqueen	None of the above
Music	Who was the very first American Idol winner?	Kelly Clarkson	Iam Tongi	Fantasia Barrino	Carrie Underwood
Music	What number greater than 10 shows up in the titles of the most US Top 40 hits?	16	17	69	Trick Question, the number is lower than 10
